주소2,주소3,안전,여가,식당,의료,마트,편의 시설,대중교통,행정동코드
강동구,천호3동,69,30,36,42,37,29,27,11250630
강북구,미아동,46,28,36,32,37,28,36,1190700
강북구,번1동,49,35,41,36,51,29,39,1190600
강북구,번2동,46,26,24,27,27,23,46,1190610
강북구,번3동,42,25,24,26,30,24,39,1190620
강북구,삼각산동,43,27,28,34,31,25,37,1190730
강북구,삼양동,51,27,27,30,31,24,38,1190690
강북구,송중동,49,29,37,32,37,29,50,1190710
강북구,송천동,49,30,38,34,39,31,30,1190720
강북구,수유1동,45,25,28,26,31,24,35,1190630
강북구,수유2동,49,29,36,36,42,27,32,1190640
강북구,수유3동,48,38,55,40,48,30,37,1190650
강북구,우이동,42,22,24,21,23,21,25,1190740
강북구,인수동,43,23,25,22,25,22,30,1190750
강서구,가양1동,54,30,30,26,32,26,30,11160640
강서구,가양2동,54,26,23,35,30,23,28,11160650
강서구,가양3동,54,26,23,43,35,24,35,11160660
강서구,공항동,54,22,23,21,24,23,26,11160690
강서구,등촌1동,55,35,41,47,52,29,32,11160520
강서구,등촌2동,55,26,25,34,29,24,24,11160530
강서구,등촌3동,55,37,35,46,44,28,53,11160540
강서구,발산1동,54,29,28,28,30,25,32,11160670
강서구,방화1동,55,27,32,34,37,24,35,11160700
강서구,방화2동,54,23,24,22,25,22,26,11160710
강서구,방화3동,54,22,22,25,25,23,25,11160720
강서구,염창동,54,29,27,31,33,23,31,11160510
강서구,우장산동,55,27,27,32,32,24,30,11160740
강서구,화곡1동,57,36,42,41,51,28,32,11160730
강서구,화곡2동,57,26,29,48,44,22,52,11160570
강서구,화곡3동,56,35,37,50,45,29,28,11160580
강서구,화곡4동,56,26,34,40,36,25,39,11160590
강서구,화곡6동,55,29,34,35,38,30,33,11160610
강서구,화곡8동,57,29,38,49,39,28,45,11160630
강서구,화곡본동,57,26,31,36,40,25,32,11160550
관악구,낙성대동,48,28,32,25,28,23,30,11210580
관악구,난곡동,50,23,26,31,32,24,31,11210810
관악구,난향동,48,24,23,30,26,23,30,11210710
관악구,남현동,47,23,24,23,25,22,21,11210630
관악구,대학동,47,24,25,21,24,21,26,11210730
관악구,미성동,49,26,28,28,32,25,34,11210830
관악구,보라매동,50,24,36,33,39,25,37,11210520
관악구,삼성동,48,22,22,23,22,21,27,11210820
관악구,서림동,49,25,28,27,36,21,32,11210660
관악구,서원동,50,29,37,37,45,25,38,11210640
관악구,성현동,48,26,27,32,30,24,41,11210790
관악구,신림동,49,34,54,44,59,27,36,11210690
관악구,신사동,50,29,37,34,50,25,34,11210680
관악구,신원동,50,24,33,35,32,26,28,11210650
관악구,은천동,50,32,36,32,39,25,46,11210780
관악구,인헌동,48,26,29,31,32,24,31,11210620
관악구,조원동,49,30,41,38,45,28,40,11210720
관악구,중앙동,51,35,42,47,51,25,35,11210610
관악구,청룡동,49,30,35,32,42,30,27,11210800
관악구,청림동,49,29,30,43,38,25,32,11210540
관악구,행운동,50,32,37,39,42,26,30,11210570
광진구,광장동,48,26,24,24,27,23,29,1150630
광진구,구의1동,50,34,51,36,51,33,32,1150600
광진구,구의2동,49,26,29,27,29,23,28,1150610
광진구,구의3동,48,34,34,31,37,27,32,1150620
광진구,군자동,49,35,43,33,44,30,35,1150540
광진구,능동,48,29,28,26,36,24,26,1150590
광진구,자양1동,49,33,45,44,48,32,31,1150640
광진구,자양2동,48,27,27,25,28,24,25,1150650
광진구,자양3동,48,28,28,28,33,25,28,1150660
광진구,자양4동,48,27,36,30,35,27,25,1150670
광진구,중곡1동,49,29,39,34,43,28,35,1150550
광진구,중곡2동,49,33,42,40,46,29,36,1150560
광진구,중곡3동,50,30,37,33,39,25,39,1150570
광진구,중곡4동,48,24,26,24,27,23,28,1150580
광진구,화양동,48,33,50,30,48,28,29,1150530
구로구,가리봉동,61,28,39,41,45,29,31,11170700
구로구,개봉1동,56,26,30,29,34,23,37,11170720
구로구,개봉2동,56,26,28,34,31,27,35,11170640
구로구,개봉3동,57,26,30,32,29,25,34,11170650
구로구,고척1동,55,33,30,31,32,26,34,11170610
구로구,고척2동,57,29,30,30,33,24,38,11170620
구로구,구로1동,55,26,23,28,28,22,31,11170520
구로구,구로2동,57,26,33,30,31,26,34,11170710
구로구,구로3동,56,33,47,37,57,34,46,11170540
